Year,Month,Avg Temp
2024,July,75.4
2024,June,68.4
2024,May,61
2024,April,55.2
2024,March,51.4
2024,February,49.6
2024,January,49.6
2023,December,51.1
2023,November,55.3
2023,October,63.8
2023,September,65.9
2023,August,72.2
2023,July,72.7
2023,June,63.7
2023,May,59.3
2023,April,54.9
2023,March,46.3
2023,February,45.5
2023,January,46.5
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
